transport_type,daily_distance_km,travel_days_per_week,electricity_kwh_month,diet_type,food_waste_frequency,waste_kg_week,recycling_frequency,flights_per_year,total_carbon_tonnes
Car,17.9,7,324.0,Non-Vegetarian,Often,2.8,Often,0,5.0702
Motorcycle,18.3,6,439.0,Mixed,Rarely,3.8,Often,0,4.6301
Electric Vehicle,75.6,5,564.0,Vegetarian,Sometimes,12.2,Never,0,5.5558
Car,16.6,7,556.0,Mixed,Often,11.4,Sometimes,1-2,6.6627
Car,32.4,4,578.0,Non-Vegetarian,Often,1.8,Never,6+,9.0436
Bus,34.2,7,104.0,Non-Vegetarian,Sometimes,7.1,Sometimes,1-2,3.698
Bus,10.4,5,125.0,Mixed,Sometimes,12.9,Sometimes,0,2.5011
Bus,21.2,5,359.0,Non-Vegetarian,Sometimes,19.9,Often,3-5,5.1875
Car,76.0,5,541.0,Mixed,Sometimes,4.3,Sometimes,0,7.7815
Car,77.5,6,154.0,Mixed,Rarely,16.7,Often,3-5,7.4203
Motorcycle,57.4,4,104.0,Mixed,Often,14.5,Never,0,3.8607
Car,53.0,3,75.0,Non-Vegetarian,Often,3.2,Sometimes,6+,5.7518
Car,18.3,6,505.0,Non-Vegetarian,Often,1.9,Never,0,5.4963
Train,35.6,6,424.0,Mixed,Often,6.9,Often,1-2,4.9121
Car,66.8,6,203.0,Mixed,Often,10.3,Often,1-2,6.9146
Motorcycle,57.2,6,121.0,Non-Vegetarian,Rarely,3.2,Never,3-5,5.357
Car,60.5,6,207.0,Non-Vegetarian,Often,6.0,Often,0,7.0964
Electric Vehicle,20.2,3,355.0,Non-Vegetarian,Rarely,19.9,Sometimes,0,4.1606
Car,62.2,3,183.0,Non-Vegetarian,Sometimes,3.7,Sometimes,0,5.117
Electric Vehicle,62.5,4,473.0,Mixed,Rarely,1.3,Never,3-5,5.3381
Bus,36.4,3,265.0,Vegetarian,Sometimes,2.2,Never,0,3.1123
Train,19.2,6,88.0,Non-Vegetarian,Sometimes,11.6,Never,6+,5.0485
Motorcycle,45.1,7,446.0,Mixed,Sometimes,1.7,Often,1-2,6.1276
Car,5.3,3,498.0,Mixed,Rarely,5.3,Often,1-2,4.7763
Electric Vehicle,75.3,6,205.0,Non-Vegetarian,Sometimes,15.2,Often,1-2,4.7091
Car,79.1,6,314.0,Mixed,Sometimes,17.7,Sometimes,0,8.0483
Motorcycle,24.3,4,252.0,Vegan,Often,3.7,Sometimes,3-5,3.0971
Bus,11.4,6,119.0,Non-Vegetarian,Sometimes,8.7,Often,1-2,2.7226
Bus,15.5,6,123.0,Non-Vegetarian,Sometimes,14.5,Sometimes,6+,5.3406
Bicycle,6.4,4,545.0,Non-Vegetarian,Often,8.8,Often,0,5.3405
Train,14.1,7,277.0,Vegetarian,Sometimes,17.9,Often,6+,4.9822
Bus,37.9,3,432.0,Non-Vegetarian,Sometimes,6.2,Often,1-2,5.2097
Walking,2.0,5,224.0,Non-Vegetarian,Sometimes,15.5,Sometimes,1-2,3.6775
Walking,4.5,7,532.0,Non-Vegetarian,Often,2.6,Never,3-5,6.4349
Car,72.6,4,459.0,Mixed,Sometimes,2.3,Often,0,7.0636
Electric Vehicle,38.5,5,437.0,Non-Vegetarian,Rarely,11.7,Often,0,4.4538
Train,8.9,7,396.0,Non-Vegetarian,Sometimes,17.1,Sometimes,0,4.5419
Electric Vehicle,73.2,3,466.0,Vegetarian,Sometimes,8.2,Never,0,4.2216
Electric Vehicle,48.9,4,296.0,Vegan,Sometimes,13.8,Sometimes,0,2.831
Car,32.7,4,124.0,Non-Vegetarian,Sometimes,3.8,Often,3-5,4.2311
Car,58.4,3,245.0,Mixed,Sometimes,12.8,Sometimes,6+,5.9492
Motorcycle,24.0,7,204.0,Non-Vegetarian,Often,10.3,Often,0,4.3369
Bus,19.0,3,200.0,Mixed,Sometimes,13.5,Sometimes,0,3.1185
Electric Vehicle,74.5,3,454.0,Vegan,Sometimes,18.2,Sometimes,0,4.0073
Car,65.2,6,274.0,Non-Vegetarian,Often,14.7,Sometimes,1-2,7.4961
Car,73.5,3,493.0,Mixed,Often,18.0,Never,0,7.0595
Car,9.9,7,491.0,Mixed,Often,1.2,Never,3-5,5.6149
Electric Vehicle,51.3,4,371.0,Mixed,Often,13.0,Sometimes,1-2,4.6824
Car,73.9,3,152.0,Mixed,Rarely,9.2,Often,0,4.3212
Bicycle,3.4,7,341.0,Non-Vegetarian,Rarely,19.8,Often,0,3.6647
Electric Vehicle,9.6,4,329.0,Vegetarian,Often,6.0,Often,1-2,3.6363
Car,14.3,3,154.0,Mixed,Often,5.3,Sometimes,3-5,3.664
Train,11.1,5,503.0,Mixed,Sometimes,13.4,Often,0,4.6615
Bicycle,1.0,2,322.0,Mixed,Rarely,15.4,Sometimes,1-2,3.711
Electric Vehicle,55.6,5,373.0,Mixed,Sometimes,13.9,Often,0,4.2317
Car,68.0,6,247.0,Mixed,Sometimes,6.7,Sometimes,1-2,7.1539
Car,56.8,6,306.0,Non-Vegetarian,Often,17.1,Often,1-2,7.3836
Electric Vehicle,38.9,4,456.0,Non-Vegetarian,Often,17.6,Often,0,5.4001
Motorcycle,37.6,4,133.0,Mixed,Sometimes,1.3,Sometimes,0,2.9058
Car,42.3,4,217.0,Mixed,Sometimes,5.3,Sometimes,3-5,4.5173
Car,77.7,3,244.0,Vegetarian,Often,14.4,Often,0,5.233
Bus,21.3,4,279.0,Vegan,Sometimes,4.0,Often,1-2,2.8548
Car,26.1,5,494.0,Mixed,Sometimes,19.4,Never,1-2,6.241
Motorcycle,20.7,5,429.0,Mixed,Often,13.0,Often,1-2,4.9887
Walking,5.7,3,581.0,Mixed,Sometimes,18.3,Often,1-2,5.3281
Electric Vehicle,23.7,7,308.0,Vegan,Sometimes,2.8,Often,1-2,3.2563
Train,36.0,5,87.0,Non-Vegetarian,Rarely,15.6,Often,0,2.6289
Walking,4.1,3,398.0,Non-Vegetarian,Often,10.2,Never,0,4.2908
Train,22.8,4,577.0,Non-Vegetarian,Rarely,14.9,Often,0,5.8591
Walking,2.6,5,283.0,Mixed,Rarely,6.0,Never,0,2.7947
Car,39.9,4,296.0,Non-Vegetarian,Rarely,9.4,Sometimes,6+,6.5107
Bus,10.3,7,299.0,Vegetarian,Rarely,19.2,Never,3-5,3.9399
Car,59.0,7,64.0,Non-Vegetarian,Sometimes,4.4,Often,3-5,6.8866
Train,15.0,7,72.0,Non-Vegetarian,Sometimes,14.6,Sometimes,6+,4.6541
Car,58.5,3,465.0,Mixed,Sometimes,8.8,Often,1-2,6.1756
Bus,22.4,6,432.0,Non-Vegetarian,Rarely,4.9,Never,3-5,5.6829
Car,56.3,3,79.0,Mixed,Sometimes,1.8,Sometimes,0,3.3801
Car,70.3,7,226.0,Non-Vegetarian,Sometimes,8.5,Sometimes,0,8.699
Motorcycle,10.1,4,374.0,Non-Vegetarian,Sometimes,1.1,Often,1-2,4.384
Motorcycle,72.4,4,268.0,Vegetarian,Rarely,12.9,Often,0,4.0601
Electric Vehicle,61.6,5,234.0,Non-Vegetarian,Sometimes,3.3,Sometimes,0,4.086
Train,27.1,7,474.0,Non-Vegetarian,Rarely,8.4,Never,6+,6.9536
Bicycle,2.7,7,421.0,Mixed,Often,7.9,Never,1-2,4.7735
Bus,35.7,5,169.0,Vegan,Rarely,16.8,Often,0,2.7449
Car,78.8,7,465.0,Mixed,Sometimes,12.3,Often,1-2,9.707
Electric Vehicle,10.8,3,536.0,Mixed,Sometimes,17.3,Often,6+,6.5617
Bus,8.9,3,252.0,Non-Vegetarian,Often,15.1,Sometimes,0,4.0862
Train,14.0,3,544.0,Non-Vegetarian,Sometimes,18.7,Often,3-5,6.0554
Bicycle,5.6,2,534.0,Mixed,Rarely,3.1,Often,1-2,4.9892
Electric Vehicle,57.1,5,199.0,Mixed,Sometimes,14.9,Never,0,3.5891
Bus,33.7,6,146.0,Vegan,Often,13.5,Often,3-5,3.4588
Bicycle,5.9,3,491.0,Vegan,Sometimes,17.6,Sometimes,1-2,4.2812
Electric Vehicle,67.7,6,357.0,Mixed,Often,14.6,Often,0,4.9086
Car,32.5,6,350.0,Non-Vegetarian,Often,14.8,Sometimes,0,6.0651
Train,16.8,5,472.0,Vegetarian,Sometimes,17.9,Often,1-2,4.0602
Electric Vehicle,11.5,5,537.0,Non-Vegetarian,Sometimes,9.9,Often,3-5,5.8421
Bus,34.8,4,379.0,Non-Vegetarian,Often,4.0,Often,0,5.0173
Electric Vehicle,20.4,6,95.0,Non-Vegetarian,Rarely,10.5,Never,0,2.9948
Train,9.1,4,426.0,Mixed,Sometimes,7.2,Often,0,3.8995
Electric Vehicle,44.2,6,170.0,Non-Vegetarian,Sometimes,15.3,Never,1-2,3.6801
Electric Vehicle,19.1,3,541.0,Mixed,Often,10.4,Often,1-2,5.328
Car,61.7,5,504.0,Non-Vegetarian,Rarely,16.5,Never,0,8.0956
Walking,1.0,4,299.0,Vegetarian,Often,13.6,Never,1-2,3.4628
Car,33.1,5,286.0,Non-Vegetarian,Sometimes,12.7,Never,1-2,5.8021
Car,57.5,6,464.0,Mixed,Sometimes,12.2,Often,6+,9.6303
Bicycle,8.0,5,71.0,Non-Vegetarian,Often,10.0,Sometimes,0,2.606
Electric Vehicle,39.1,5,183.0,Mixed,Rarely,6.9,Often,3-5,3.3105
Car,35.8,3,426.0,Non-Vegetarian,Sometimes,1.5,Sometimes,0,5.3175
Bus,32.6,7,410.0,Vegan,Sometimes,14.3,Sometimes,6+,6.5986
Car,17.2,5,381.0,Non-Vegetarian,Sometimes,19.4,Never,1-2,5.4863
Bicycle,5.4,3,475.0,Vegan,Rarely,7.5,Often,3-5,4.2977
Car,38.3,3,106.0,Vegetarian,Sometimes,19.0,Sometimes,1-2,3.1023
Car,44.4,5,399.0,Vegetarian,Sometimes,6.3,Sometimes,1-2,6.0954
Car,24.7,5,311.0,Non-Vegetarian,Sometimes,18.6,Never,0,5.3322
Car,54.5,7,255.0,Non-Vegetarian,Rarely,16.0,Never,1-2,7.5823
Bus,11.6,4,215.0,Mixed,Sometimes,8.1,Sometimes,0,2.8042
Bus,14.2,4,226.0,Non-Vegetarian,Sometimes,5.1,Often,1-2,3.5693
Car,17.9,7,398.0,Non-Vegetarian,Often,3.8,Never,1-2,5.9797
Bus,39.5,7,141.0,Non-Vegetarian,Sometimes,12.9,Often,3-5,4.7469
Motorcycle,61.4,3,529.0,Mixed,Rarely,13.8,Often,0,5.0179
Bicycle,1.5,6,572.0,Non-Vegetarian,Sometimes,17.6,Often,0,4.8661
Bus,21.4,3,288.0,Vegan,Rarely,2.6,Often,0,2.4623
Motorcycle,39.8,5,217.0,Non-Vegetarian,Sometimes,6.9,Often,1-2,4.2802
Motorcycle,70.3,7,432.0,Mixed,Sometimes,13.6,Sometimes,1-2,7.5189
Car,43.8,3,188.0,Non-Vegetarian,Sometimes,6.5,Sometimes,0,4.3423
Electric Vehicle,73.0,7,155.0,Mixed,Rarely,7.4,Often,0,3.3416
Car,51.0,4,491.0,Non-Vegetarian,Rarely,14.0,Often,1-2,6.5058
Car,39.7,7,145.0,Mixed,Often,13.1,Sometimes,3-5,6.2614
Train,21.4,4,265.0,Mixed,Often,9.7,Sometimes,0,3.3204
Car,14.3,6,497.0,Mixed,Rarely,4.6,Often,6+,5.9018
Train,13.3,7,281.0,Non-Vegetarian,Often,12.9,Sometimes,0,4.2373
Bus,14.6,4,150.0,Non-Vegetarian,Often,2.0,Often,0,3.0943
Walking,7.4,7,283.0,Vegan,Sometimes,2.1,Never,6+,4.2171
Bicycle,2.6,3,177.0,Non-Vegetarian,Sometimes,6.1,Sometimes,3-5,3.7094
Car,21.5,6,162.0,Non-Vegetarian,Often,2.7,Often,6+,6.6119
Car,41.5,3,185.0,Non-Vegetarian,Sometimes,12.6,Often,6+,6.1568
Train,19.1,7,517.0,Non-Vegetarian,Sometimes,17.1,Sometimes,1-2,5.4951
Car,71.6,7,463.0,Vegan,Often,4.9,Often,1-2,8.9579
Car,43.1,6,511.0,Non-Vegetarian,Sometimes,14.4,Often,1-2,7.385
Motorcycle,64.1,4,170.0,Non-Vegetarian,Sometimes,14.6,Often,0,4.7647
Bicycle,4.7,7,434.0,Non-Vegetarian,Often,8.4,Sometimes,0,4.2642
Bus,29.8,6,99.0,Non-Vegetarian,Sometimes,8.0,Often,1-2,3.6892
Train,25.2,4,515.0,Mixed,Sometimes,15.5,Never,6+,7.405
Car,57.1,3,188.0,Non-Vegetarian,Sometimes,3.8,Never,1-2,4.9375
Motorcycle,17.5,3,177.0,Vegetarian,Rarely,13.4,Often,6+,4.2016
Electric Vehicle,18.2,7,309.0,Non-Vegetarian,Rarely,1.3,Often,1-2,4.2072
Car,63.7,7,118.0,Non-Vegetarian,Often,14.7,Never,6+,9.9292
Car,5.7,4,471.0,Non-Vegetarian,Rarely,10.6,Never,0,4.849
Car,69.6,5,366.0,Non-Vegetarian,Sometimes,4.3,Never,0,7.4366
Train,30.9,3,591.0,Vegetarian,Sometimes,11.0,Sometimes,3-5,4.9887
Electric Vehicle,40.0,7,245.0,Non-Vegetarian,Sometimes,15.2,Often,1-2,4.2078
Motorcycle,42.7,6,119.0,Vegan,Rarely,19.9,Often,0,3.1031
Car,6.8,6,159.0,Vegan,Sometimes,13.1,Never,3-5,2.9206
Walking,6.1,7,487.0,Non-Vegetarian,Rarely,18.1,Often,0,4.252
Motorcycle,20.4,4,279.0,Vegetarian,Often,18.0,Often,0,3.5419
Car,39.9,6,538.0,Mixed,Rarely,6.6,Often,1-2,7.9134
Electric Vehicle,10.1,5,156.0,Mixed,Rarely,19.8,Never,3-5,3.5863
Car,6.9,4,397.0,Non-Vegetarian,Sometimes,7.3,Often,0,4.2374
Walking,4.9,5,467.0,Non-Vegetarian,Sometimes,13.7,Sometimes,3-5,5.6075
Bus,39.9,4,563.0,Non-Vegetarian,Sometimes,9.4,Often,0,6.2423
Car,33.8,6,171.0,Vegan,Rarely,3.5,Sometimes,0,3.9198
Walking,7.1,5,351.0,Non-Vegetarian,Often,1.0,Never,3-5,4.7898
Car,40.1,4,559.0,Non-Vegetarian,Rarely,9.7,Often,1-2,7.0762
Electric Vehicle,68.8,5,367.0,Non-Vegetarian,Often,15.1,Often,0,5.4995
Bicycle,4.4,4,493.0,Mixed,Sometimes,16.5,Sometimes,0,4.7099
Electric Vehicle,27.5,6,78.0,Non-Vegetarian,Often,5.9,Often,1-2,3.3302
Electric Vehicle,39.8,4,559.0,Non-Vegetarian,Sometimes,8.8,Sometimes,1-2,5.5793
Car,23.2,7,315.0,Mixed,Rarely,7.0,Often,1-2,4.9846
Bus,4.1,5,115.0,Non-Vegetarian,Often,10.3,Often,1-2,3.0983
Motorcycle,68.7,5,184.0,Mixed,Sometimes,12.4,Sometimes,3-5,5.4486
Bicycle,1.6,5,321.0,Vegetarian,Often,16.4,Often,6+,5.1857
Car,18.3,4,210.0,Mixed,Sometimes,18.4,Often,1-2,3.8122
Car,12.5,7,95.0,Vegan,Rarely,18.5,Often,3-5,2.9919
Electric Vehicle,41.8,5,376.0,Non-Vegetarian,Sometimes,16.8,Sometimes,0,4.6021
Train,28.9,3,323.0,Non-Vegetarian,Sometimes,8.5,Sometimes,0,3.7718
Bus,19.7,7,219.0,Non-Vegetarian,Often,8.9,Often,3-5,5.0555
Car,39.6,4,70.0,Vegetarian,Often,3.8,Often,0,2.9211
Bicycle,2.6,4,428.0,Non-Vegetarian,Sometimes,9.3,Never,1-2,4.906
Train,37.7,4,543.0,Non-Vegetarian,Sometimes,8.4,Sometimes,0,5.1163
Electric Vehicle,65.3,6,153.0,Non-Vegetarian,Sometimes,8.6,Often,0,3.8761
Electric Vehicle,36.7,5,577.0,Mixed,Often,4.5,Often,0,5.5916
Car,12.0,5,131.0,Mixed,Sometimes,12.5,Often,6+,4.7625
Walking,5.2,7,239.0,Non-Vegetarian,Sometimes,3.0,Often,6+,4.8404
Car,16.1,7,200.0,Non-Vegetarian,Sometimes,12.2,Often,0,4.1651
Car,77.3,7,351.0,Non-Vegetarian,Often,1.8,Sometimes,1-2,8.9456
Train,32.3,6,506.0,Non-Vegetarian,Sometimes,17.8,Sometimes,6+,7.4154
Car,71.9,3,499.0,Non-Vegetarian,Sometimes,8.5,Never,0,6.7072
Car,66.6,4,268.0,Non-Vegetarian,Often,16.2,Sometimes,3-5,6.9306
Bus,38.2,5,473.0,Non-Vegetarian,Sometimes,12.0,Sometimes,1-2,5.756
Walking,6.9,5,358.0,Non-Vegetarian,Sometimes,4.8,Often,0,3.5251
Car,14.7,5,143.0,Non-Vegetarian,Sometimes,4.1,Sometimes,3-5,3.6854
Motorcycle,62.4,5,220.0,Non-Vegetarian,Sometimes,2.3,Often,3-5,5.5809
Car,63.4,5,581.0,Vegetarian,Sometimes,3.3,Often,3-5,8.1429
Bus,7.5,7,203.0,Vegetarian,Often,7.7,Sometimes,0,2.8526
Electric Vehicle,51.5,3,596.0,Vegetarian,Sometimes,10.9,Often,0,4.7321
Electric Vehicle,61.8,5,66.0,Mixed,Often,9.2,Often,3-5,3.5668
Train,20.9,7,461.0,Vegetarian,Often,5.3,Often,6+,6.1481
Bus,31.5,6,227.0,Non-Vegetarian,Often,1.7,Never,1-2,4.918
Motorcycle,30.4,3,583.0,Mixed,Rarely,17.0,Sometimes,1-2,5.655
Car,15.2,6,354.0,Non-Vegetarian,Often,3.3,Often,3-5,5.6212
Bus,18.7,3,522.0,Vegetarian,Sometimes,19.3,Never,0,4.5266
Motorcycle,16.5,5,517.0,Mixed,Often,7.9,Sometimes,3-5,5.8391
Car,18.9,3,528.0,Mixed,Sometimes,17.2,Sometimes,0,5.2442
Car,30.0,3,150.0,Non-Vegetarian,Often,5.4,Sometimes,3-5,4.373
Electric Vehicle,65.9,7,564.0,Mixed,Sometimes,18.2,Often,0,5.9061
Motorcycle,74.8,5,555.0,Non-Vegetarian,Sometimes,6.1,Never,0,7.6761
Car,40.8,6,495.0,Non-Vegetarian,Rarely,4.0,Often,3-5,7.4381
Car,30.1,4,407.0,Non-Vegetarian,Often,13.0,Never,0,5.8533
Electric Vehicle,69.8,7,181.0,Non-Vegetarian,Sometimes,17.6,Sometimes,3-5,5.0194
Electric Vehicle,41.9,4,83.0,Non-Vegetarian,Sometimes,4.7,Sometimes,0,2.5763
Electric Vehicle,26.6,4,389.0,Mixed,Sometimes,5.8,Often,0,4.0325
Car,49.3,5,430.0,Non-Vegetarian,Often,12.0,Often,0,7.0457
Car,8.5,3,426.0,Vegetarian,Sometimes,19.2,Sometimes,1-2,4.0593
Bicycle,6.7,2,277.0,Non-Vegetarian,Sometimes,3.8,Often,0,3.0176
Motorcycle,43.9,5,294.0,Non-Vegetarian,Sometimes,4.9,Sometimes,3-5,6.0677
Electric Vehicle,54.7,6,319.0,Non-Vegetarian,Rarely,1.1,Sometimes,0,4.3317
Bus,13.7,6,111.0,Non-Vegetarian,Sometimes,4.4,Often,1-2,3.0201
Walking,1.0,5,241.0,Non-Vegetarian,Sometimes,14.1,Sometimes,1-2,3.5164
Car,72.9,3,480.0,Non-Vegetarian,Sometimes,19.7,Sometimes,1-2,7.3898
Car,25.1,5,337.0,Non-Vegetarian,Sometimes,13.5,Often,3-5,6.1716
Electric Vehicle,23.1,5,189.0,Non-Vegetarian,Often,18.7,Often,1-2,3.961
Electric Vehicle,74.1,6,588.0,Vegan,Often,7.2,Often,1-2,5.6266
Car,13.1,5,446.0,Non-Vegetarian,Sometimes,6.2,Never,1-2,5.3015
Electric Vehicle,50.1,7,246.0,Non-Vegetarian,Sometimes,17.9,Sometimes,3-5,4.8966
Bus,21.2,6,577.0,Vegan,Rarely,11.7,Never,1-2,5.3565
Car,40.0,7,598.0,Vegetarian,Sometimes,19.5,Sometimes,0,7.4646
Car,24.2,7,275.0,Mixed,Sometimes,17.9,Often,0,4.6238
Electric Vehicle,50.9,3,493.0,Mixed,Sometimes,13.0,Often,0,4.5902
Train,28.7,3,559.0,Non-Vegetarian,Often,16.1,Often,0,5.2686
Bus,11.5,7,203.0,Non-Vegetarian,Sometimes,7.8,Sometimes,1-2,3.747
Train,3.8,5,156.0,Mixed,Sometimes,1.9,Never,3-5,3.0347
Car,27.1,3,414.0,Non-Vegetarian,Rarely,3.2,Often,0,4.4023
Car,56.5,4,428.0,Mixed,Rarely,8.2,Never,0,5.6306
Car,68.2,6,110.0,Mixed,Sometimes,3.9,Never,0,6.2061
Bus,23.5,7,572.0,Mixed,Often,18.4,Often,3-5,6.3981
Car,79.8,7,413.0,Non-Vegetarian,Sometimes,4.3,Often,1-2,9.6648
Electric Vehicle,64.9,3,158.0,Non-Vegetarian,Often,9.8,Never,1-2,4.231
Walking,1.5,2,176.0,Mixed,Often,3.2,Sometimes,6+,4.2948
Car,43.8,7,532.0,Mixed,Sometimes,2.0,Often,1-2,7.365
Car,45.4,3,237.0,Non-Vegetarian,Sometimes,7.3,Never,0,4.1977
Car,65.2,4,434.0,Vegetarian,Rarely,9.4,Sometimes,1-2,6.5911
Car,62.0,6,141.0,Non-Vegetarian,Often,1.6,Often,3-5,7.4174
Electric Vehicle,59.2,3,227.0,Mixed,Often,12.1,Never,0,3.3813
Electric Vehicle,12.4,7,406.0,Vegetarian,Sometimes,19.4,Never,0,3.841
Car,73.6,5,464.0,Non-Vegetarian,Rarely,16.4,Often,1-2,8.6353
Bus,21.2,3,133.0,Mixed,Sometimes,12.8,Never,0,2.8519
Car,49.9,3,414.0,Mixed,Sometimes,13.1,Never,3-5,6.3287
Car,16.2,6,360.0,Non-Vegetarian,Rarely,6.1,Sometimes,0,4.5534
Electric Vehicle,63.9,6,451.0,Non-Vegetarian,Rarely,9.9,Sometimes,0,5.1336
Train,25.7,6,390.0,Mixed,Rarely,12.9,Often,6+,6.0074
Car,25.1,3,560.0,Mixed,Sometimes,11.0,Often,6+,7.2792
Bicycle,2.5,7,192.0,Mixed,Rarely,19.0,Sometimes,6+,4.4101
Walking,4.5,2,270.0,Non-Vegetarian,Sometimes,3.7,Sometimes,1-2,3.5441
Bicycle,4.4,7,418.0,Mixed,Sometimes,4.0,Sometimes,1-2,3.971
Bicycle,4.5,3,107.0,Mixed,Sometimes,9.8,Never,0,2.0632
Electric Vehicle,52.4,4,245.0,Mixed,Often,17.5,Never,1-2,4.2809
Car,56.2,5,155.0,Mixed,Sometimes,13.7,Sometimes,0,5.6472
Walking,7.0,6,367.0,Mixed,Sometimes,18.4,Often,3-5,4.1921
Bus,9.6,5,232.0,Mixed,Sometimes,16.8,Never,1-2,3.7178
Car,56.5,3,596.0,Non-Vegetarian,Sometimes,5.1,Often,3-5,7.7651
Train,35.7,3,267.0,Non-Vegetarian,Rarely,2.9,Never,1-2,3.7773
Bus,29.7,3,349.0,Non-Vegetarian,Rarely,12.3,Often,0,4.1722
Car,21.9,6,520.0,Mixed,Often,18.4,Often,1-2,6.6404
Bicycle,3.0,5,102.0,Mixed,Often,15.8,Often,1-2,2.8823
Car,7.0,3,372.0,Non-Vegetarian,Sometimes,11.4,Often,1-2,4.454
Car,56.6,5,310.0,Mixed,Sometimes,6.4,Often,0,5.9268
Car,51.6,4,265.0,Non-Vegetarian,Sometimes,17.8,Never,1-2,5.6778
Walking,7.0,7,475.0,Non-Vegetarian,Sometimes,5.3,Sometimes,1-2,4.9271
Bicycle,3.6,3,498.0,Vegetarian,Sometimes,12.4,Never,0,3.8314
Car,30.3,3,101.0,Mixed,Sometimes,17.3,Sometimes,1-2,3.1373
Electric Vehicle,52.3,5,181.0,Mixed,Sometimes,19.4,Often,1-2,3.7168
Car,61.0,6,479.0,Vegan,Rarely,4.7,Often,1-2,7.3399
Electric Vehicle,11.6,3,262.0,Non-Vegetarian,Rarely,18.9,Sometimes,6+,5.7493
Walking,2.4,4,246.0,Mixed,Sometimes,4.5,Sometimes,1-2,3.1318
Bus,36.4,7,166.0,Non-Vegetarian,Sometimes,15.2,Never,0,4.1405
Electric Vehicle,5.4,7,592.0,Mixed,Sometimes,5.5,Often,6+,6.8149
Motorcycle,20.9,5,388.0,Vegetarian,Rarely,8.0,Often,0,3.5111
Electric Vehicle,43.1,7,369.0,Vegetarian,Sometimes,11.9,Often,3-5,4.5654
Walking,3.5,6,438.0,Non-Vegetarian,Sometimes,15.6,Sometimes,0,4.551
Walking,2.7,6,403.0,Mixed,Sometimes,13.8,Often,3-5,4.7591
Car,63.8,7,261.0,Mixed,Sometimes,7.3,Never,0,7.6777
Bus,14.5,7,486.0,Mixed,Often,17.9,Never,3-5,6.1331
Walking,6.3,5,272.0,Non-Vegetarian,Often,8.7,Often,6+,5.5138
Bus,17.7,3,301.0,Non-Vegetarian,Often,13.2,Never,0,3.7124
Car,50.5,5,419.0,Non-Vegetarian,Sometimes,5.6,Often,0,6.2735
Electric Vehicle,61.8,5,505.0,Mixed,Often,17.9,Never,0,5.6221
Car,46.2,4,273.0,Mixed,Sometimes,3.8,Often,0,4.4437
Bus,24.2,5,274.0,Vegetarian,Often,1.3,Sometimes,1-2,3.4012
Car,19.3,7,223.0,Non-Vegetarian,Often,3.3,Often,3-5,5.0868
Motorcycle,16.2,7,488.0,Non-Vegetarian,Sometimes,12.9,Never,0,5.7859
Car,5.5,7,289.0,Non-Vegetarian,Often,2.2,Never,3-5,4.8084
Walking,4.3,2,95.0,Vegetarian,Sometimes,16.6,Often,0,1.733
Car,53.6,3,211.0,Non-Vegetarian,Often,7.1,Sometimes,3-5,5.6429
Electric Vehicle,44.1,7,572.0,Non-Vegetarian,Sometimes,2.0,Sometimes,1-2,6.0184
Bus,25.2,6,139.0,Mixed,Sometimes,3.7,Sometimes,3-5,4.0649
Train,25.1,5,61.0,Mixed,Sometimes,10.3,Often,1-2,2.2336
Car,57.4,7,87.0,Mixed,Rarely,18.8,Often,0,5.9833
Electric Vehicle,19.9,6,178.0,Mixed,Often,7.0,Often,0,2.7808
Car,45.9,3,305.0,Non-Vegetarian,Often,18.2,Often,0,5.9583
Car,33.5,4,463.0,Non-Vegetarian,Sometimes,13.7,Never,1-2,6.0244
Car,21.4,3,540.0,Non-Vegetarian,Sometimes,12.3,Often,0,5.4647
Bus,4.8,6,212.0,Vegan,Often,9.2,Sometimes,0,2.0903
Electric Vehicle,34.9,7,110.0,Vegetarian,Sometimes,16.0,Often,0,2.4627
Car,6.1,4,401.0,Mixed,Often,12.2,Often,0,4.3374
Electric Vehicle,17.9,7,237.0,Mixed,Often,14.0,Sometimes,3-5,4.522
Electric Vehicle,22.4,7,184.0,Vegetarian,Sometimes,11.3,Often,1-2,2.6823
Bus,30.3,6,482.0,Non-Vegetarian,Sometimes,9.1,Often,6+,7.897
Bus,28.9,6,523.0,Non-Vegetarian,Often,10.8,Often,3-5,7.3604
Motorcycle,15.8,4,149.0,Non-Vegetarian,Sometimes,4.0,Often,1-2,3.2493
Train,3.5,5,346.0,Non-Vegetarian,Rarely,6.0,Sometimes,3-5,4.0276
Car,78.6,4,230.0,Non-Vegetarian,Sometimes,12.3,Never,1-2,6.6374
Walking,2.5,5,393.0,Non-Vegetarian,Often,17.5,Often,0,4.891
Walking,7.6,7,451.0,Non-Vegetarian,Sometimes,19.5,Sometimes,1-2,4.6669
Bus,13.8,4,214.0,Non-Vegetarian,Often,12.6,Sometimes,0,3.9347
Train,21.8,3,432.0,Non-Vegetarian,Sometimes,4.4,Often,1-2,4.6952
Motorcycle,19.7,4,64.0,Non-Vegetarian,Sometimes,15.8,Often,0,2.4776
Bus,22.7,6,348.0,Mixed,Sometimes,9.3,Sometimes,3-5,4.427
Electric Vehicle,14.7,7,367.0,Non-Vegetarian,Sometimes,16.0,Sometimes,1-2,4.9706
Bicycle,6.4,4,79.0,Non-Vegetarian,Rarely,18.0,Sometimes,6+,4.3326
Motorcycle,51.5,6,363.0,Vegan,Rarely,6.3,Sometimes,3-5,5.1565
